HD 14633,8.73,140.7778643,-18.20050941,ON8.5V,C,1482.359917,-38.17,2011ApJS..193...24S
HD 288891,10.68,209.2518456,-1.88054958,B,C,1748.251748,-2,
LS I +59 69,10.7,127.318331,-2.540372201,B,C,3201.024328,-27.8409,
HD 14443,7.6934,135.0115785,-3.587292584,BC2Ib,C,2421.307506,-45.7,1971ApJ...164L..67W
HD 104565,9.27,296.5075789,4.016675539,OC9.7Iab,C,5104.645227,-22,2014ApJS..211...10S
HD 110360,9.58,301.8008678,2.199065544,ON7V,C,2146.844139,-19,2016ApJS..224....4M
HD 123008,9.5,311.0154325,-2.797913082,ON9.2Iab,C,3401.360544,-12,2014ApJS..211...10S
HD 154811,6.98,341.0616166,-4.219086208,OC9.7Ib,C,1258.811682,-23,2014ApJS..211...10S
* kap Cas,4.16,120.8361508,0.135086792,BC0.7Ia,C,939.4964299,0.3,2024A&A...690A.176N
CD-53 6479,9.04,329.7433029,-2.168914585,BN2.5III,C,1974.723539,-44.8,2017MNRAS.469.1330A
HD 93840,7.79,282.1405923,11.09720468,BN1Ib,C,2774.694784,2.9,2024A&A...687L...7W
SK -68 26,11.85,279.1400074,-35.16550335,BC2Ia,C,12500,344,1991PASP..103.1123F
SK -69 268,12.242,280.0725165,-31.41061343,BC1.5Iab,C,153846.1538,249.8,2009AJ....138..510F
HD 12323,8.92,132.9052886,-5.865626124,ON9.2V,C,2516.98968,-41.5,2014ApJS..211...10S
HD 191781,9.53,81.18425081,6.607085179,ON9.7Iab,C,2943.773918,-8,2011ApJS..193...24S
HD 201345,7.764,78.43630294,-9.54436537,ON9.2IV,C,1918.28122,14,2014ApJS..211...10S
HD 152249,6.45,343.4487443,1.164849092,OC9Iab,C,1547.26907,-22.2,2014ApJS..211...10S
HD 152424,6.27,343.3618271,0.888351153,OC9.2Ia,C,1624.69537,-24,2014ApJS..211...10S
HD 194280,8.42,77.20070459,0.922515286,OC9.7Iab,C,1742.463844,-18,1971ApJ...164L..67W
BD-16 1943,10.09,231.2161042,-0.338980129,B,D,606.7224851,47.82,
HD 314837,11.09,3.84595133,-0.661257766,B,D,452.4068042,-49.25,
TYC 5979-2092-1,11.73,231.3485368,1.743409771,B,D,1056.859015,85.6,
Case A-F 419,15.19,198.2047626,44.95801075,B,D,8880.994671,106.4,
HD 313420,10.42,6.957707376,1.543945946,B,D,138.0300353,-55.36,
BD-17 4623,9.97,1.337198766,18.1575343,B,D,2673.796791,84.73,
BD-15 4850,10.97,14.55379603,1.538489237,B,D,1697.216565,-4.86901,
BD-14 4941,10.19,15.65260079,1.404105622,B,D,1509.661836,-5.20584,
BD-14 4932,10.38,15.38855033,1.550147915,B,D,2237.637055,-12.6057,
CHSS 609,14.79,197.5899752,43.50671858,B,D,1572.821642,289.5,
LS IV -15 59,11.31,27.13704789,-23.02503216,B,D,312.9302791,21.7,
TYC 7166-1121-1,10.71,264.2324036,10.65837177,B,D,1063.15118,28.243999,
CHSS 812,15.76,201.365626,70.54095392,B,D,44052.86344,57.5,
Case A-F 641,16,201.6012243,60.71934438,B,D,18416.20626,17.1,
TYC 7166-294-1,11.01,265.0075286,10.39010537,B,D,499.4506043,21.95,
TYC 7165-1294-1,10.74,263.4930503,10.14495022,B,D,635.4855109,-0.838117,
TYC 7166-2976-1,10.54,264.8899627,10.55708896,B,D,252.2767981,14.07,
TYC 7166-2036-1,11.14,263.6405513,10.73542087,B,D,726.3219059,22.606055,
GSC 07166-00765,10.686,263.7390934,10.59674093,B,D,337.5755325,42.168565,
TYC 7166-1331-1,11.65,263.947536,10.13533116,B,D,718.1328546,0.483957,
TYC 7166-1009-1,10.94,264.0263928,10.88523231,B,D,341.810227,4.773,
TYC 7166-287-1,11.09,263.8907345,9.855411701,B,D,416.4064127,0.296668,
NGC 2527 196,11.9,246.1700435,1.908245255,B,D,647.7942605,42.21,
V* HN Aqr,11.426,41.17289416,-58.15189038,B,D,7923.930269,63,2003AJ....125.2531R
BD-15 4863,10.21,14.4973129,1.205532194,B,D,1892.505678,-687.242981,
BD-12 5080,10.24,19.35258821,-1.239780566,B,D,2326.122354,26.561399,
LS IV -12 56,11.24,19.14370642,-0.179658235,B,D,1332.267519,-1.29934,
LS IV -12 86,11.45,20.1922462,-1.684572629,B,D,2093.802345,39.945702,
NGC 6611 388,13.7,16.96199137,0.765730917,B,D,1970.055162,104.37,
LS IV -12 90,11.62,20.36383983,-1.811592702,B,D,1890.359168,13.6433,
BD-10 4665,11.29,20.6090046,2.078973132,B,D,2390.057361,52.515202,
LS IV -13 38,11.84,17.2625016,-0.047130846,B,D,1786.352269,-12.0651,
LS IV -14 79,10.9,17.26618967,-1.782801611,B,D,2154.708037,32.826401,
LS IV -14 17,11.38,15.73434114,1.220973273,B,D,1675.041876,2.53288,
LS IV -13 94,11.69,30.6220582,-26.61168744,B,D,603.3910577,18.27,
LS IV -13 93,11.27,30.19522104,-23.79491002,B,D,375.6715128,44.89,
LS IV -13 91,11.72,24.29657841,-13.17750505,B,D,15822.78481,-126.389999,
BD+30 977,9.82,178.2966353,0.11859076,B,D,1830.496064,9.68,
BD+34 1156,9.36,175.2092446,2.640995556,B,D,1725.030188,-5,
LS V +34 43,10.68,173.7287767,0.012727445,B,D,2066.542674,17.3915,
LS V +34 24,11.24,173.3834534,-0.292516922,B,D,2020.610224,-0.122914912,
BD-10 1144B,10.533,212.091979,-25.60725727,B,D,335.0195986,15.83,
V* V1299 Ori,10.98,205.8668206,-17.08494219,B,D,1173.158142,63.64,
LS V +32 17,11.84,179.2595263,5.599993028,B,D,821.4227041,-28.25,
HD 249683,10.31,183.6888995,1.096347837,B,D,5350.454789,59.33,
HD 248878,9.8,183.3319461,0.207372096,B,D,297.9293907,-22,
HD 249498,9.91,182.2308524,1.728627111,B,D,1190.47619,4,
HD 248666,9.85,182.4780829,0.453794416,B,D,1616.553508,-7.25,
HD 248290,9.43,181.7311607,0.432369504,B,D,1258.970162,20,
HD 248411,8.95,181.2890431,0.834752527,B,D,633.1919205,-2,
LS V +33 3,11.86,167.7417729,-8.683140751,B,D,270.0440172,15.8,
HD 276434,10.83,161.0712688,-5.19386343,B,D,1555.451859,-1.48154,
LS V +41 6,12.24,160.4510428,-4.987629649,B,D,476.0997905,-23.64,
LS V +27 1,11.81,173.2339199,-11.74066742,B,D,275.2243078,-19.96,
LS V +40 4,12.27,157.2553134,-9.590767036,B,D,448.1089801,4.64,
HD 233799,9.05,158.627063,59.21855813,B,D,677.920141,23.72,
HD 233953,10.14,129.4387789,67.57238125,B,D,238.6463976,-19.87,
BD+44 1148,10.49,163.4448476,3.804099709,B,D,1037.99045,20.1280649,
LS V +49 20,11.7,159.2006352,5.963378521,B,D,736.1601885,8.08,
LS V +51 22,10.85,156.8399502,6.025622473,B,D,233.5302772,20.26,
LS V +45 21,9.24,161.901067,3.60556939,B,D,1613.163413,-26.95,
HD 285097,10.9,181.7725063,-14.56548641,B,D,182.1958241,17.3245,
HD 280321,10.85,169.1198748,-4.387794371,B,D,1740.644038,-0.844845,
LS V +33 4,12.4,169.7993489,-6.378957883,B,D,462.7701421,13.3,
LS V +30 32,11.41,180.3144885,4.604002324,B,D,3668.378577,51.0611,
Cl VDB 1 42,13.95,208.5592706,-1.737371248,B,D,1993.223042,-24.49004566,
Cl VDB 1 41,13.73,208.559515,-1.733689704,B,D,1760.56338,54.63417562,
BD+01 1441,10.39,210.2638171,-2.30287742,B,D,4752.851711,173.95,
HD 259896,10.37,206.449753,-1.476015407,B,D,1458.363716,27.66484884,
LS VI +13 14,10.66,199.0614641,2.371292353,B,D,5073.566717,145.27,
LS V +21 39,12.17,191.8136724,6.340984577,B,D,421.9765381,-29.52,
BD+01 1375,10.64,209.7165542,-4.14100889,B,D,1945.903872,149.17,
GSC 00141-01999,12.4,206.7866053,-3.351810739,B,D,935.8038555,3.91,
Cl* Dolidze 25 MV 12,10.81,211.9322076,-1.389443094,B,D,4033.884631,99,
HD 295998,10.48,217.8778989,-0.377948753,B,D,1942.501943,67.9,
HD 296528,9.96,219.3842708,1.120004216,B,D,2627.430373,69,
LS VI -04 11,11.33,217.3804913,-0.51920429,B,D,2644.103649,83.2,
LS VI -06 4,11.2,218.5599284,-3.552640698,B,D,2353.49494,76.232201,
HD 295866,10.32,217.1922897,-0.832571855,B,D,2115.059222,46.1,
BD+03 1389,9.87,209.152967,0.315824041,B,D,2591.344908,67.79,
LS V +22 58,12.19,192.5075473,10.09278389,B,D,1256.281407,22.75,
LS V +23 75,11.92,191.6129327,10.33755961,B,D,763.3587786,15.36,
LS V +35 31,12.12,177.7542953,8.384967774,B,D,488.4959211,-13.71,
LS V +20 13,11.91,189.6898591,0.084379987,B,D,527.7044855,-11.87,
BD+20 1215,9.49,188.8419261,-1.22974874,B,D,1246.727341,21.6,
LS V +24 9,11.6,186.3840411,1.255595346,B,D,2164.502165,18.94088732,
LS VI +11 11,10.88,200.8523813,0.550900035,B,D,1863.238308,142.6,
HD 256351,10.21,200.3591032,-1.335315162,B,D,1873.711823,40.3,
LS V +19 6,12.06,192.7314153,4.35023326,B,D,3204.10125,22.29,
BD+35 4126,10.13,75.35239264,-1.425667113,B,D,1860.811314,94.08,
HD 303080,10.7,286.1943178,-0.208513207,B,D,846.5966813,-58.24,
HD 229181,10.18,75.68661262,-0.102351421,B,D,307.7396523,-44.45,
LS II +37 94,11.53,76.29523367,-0.605227906,B,D,360.7503608,-20.1,
Cl* NGC 3293 BVC 93,12.63,285.9078078,0.061660449,B,D,2644.103649,-26.4,2009ApJ...700.1216M
NGC 3766 233,12.433,294.1627612,-0.073879416,B,D,2055.498458,-22.31,2009ApJ...700.1216M
Cl* NGC 3766 MG 162,12.621,294.1686954,-0.062276944,B,D,2261.420172,-19.582,2009ApJ...700.1216M
Cl* NGC 3766 MG 155,12.388,294.187765,-0.046321791,B,D,2345.21576,-17.071,2009ApJ...700.1216M
NGC 3766 54,11.377,294.1368082,-0.044202825,B,D,2226.179875,-30.74,2009ApJ...700.1216M
Cl* NGC 3766 MG 129,12.364,294.0595927,-0.065794881,B,D,2033.346889,-5.986,2009ApJ...700.1216M
NGC 3766 13,12.68,294.1193821,0.021356648,B,D,2386.634845,-13.93,2009ApJ...700.1216M
CPD-60 3131,11.3,294.1068236,-0.010429051,B,D,2191.540653,-14.14,2009ApJ...700.1216M
CPD-60 3167,11.467,294.1570093,0.018418132,B,D,2101.281782,-5.51,2009ApJ...700.1216M
Cl* NGC 3293 ESL 52,11.77,285.780099,0.113152457,B,D,2002.803925,-5.65,2009ApJ...700.1216M
CPD-60 3164,11.385,294.1521589,0.020516674,B,D,2300.437083,-15.01,2009ApJ...700.1216M
CPD-60 3135,11.07,294.118517,-0.023605018,B,D,13850.41551,-26.68,2009ApJ...700.1216M
CPD-60 3091,10.511,294.0569915,-0.056026523,B,D,2038.735984,-14.13,2009ApJ...700.1216M
TYC 8958-63-1,12.19,290.9439283,-1.397141302,B,D,2172.024327,-52,
TYC 8958-1269-1,11.62,290.5537158,-0.954307025,B,D,2124.04418,-24,
HD 306182,11.9,291.0206544,-0.19097994,B,D,562.4929688,-13.35,
Cl Loden 306 23,11.16,290.5929503,-0.863264755,B,D,681.756204,15,
CPD-60 3163,10.959,294.1461873,0.036002339,B,D,2020.20202,-17.37,2009ApJ...700.1216M
LS II +37 32,10.66,75.42968658,1.471965393,B,D,2449.179525,-25,
LS II +33 3,10.44,67.69431366,6.11899701,B,D,308.5753078,-25.16,
LS II +32 25,11.12,73.17351602,-3.864039824,B,D,376.5485559,-18.67,
LS II +39 14,11.76,76.39706405,2.786327104,B,D,296.8239834,18.47,
EM* AS 383,11.27,72.28785878,0.869578396,B,D,1927.153594,-3.3,
HD 227733,10.38,72.66616143,1.819178753,B,D,3211.303789,-6,
LS II +37 2,11.86,72.27546167,6.845293686,B,D,936.0666479,-17.66,
BD+31 4191,11.03,73.77111846,-6.48053832,B,D,412.9160129,0.54,
NGC 3766 253,12.145,294.0991237,-0.130456204,B,D,2191.060473,-18.88,2009ApJ...700.1216M
NGC 3766 213,11.89,294.2000611,-0.069437814,B,D,2257.336343,-16.3,2009ApJ...700.1216M
CPD-60 3088,10.62,294.0348269,-0.013036809,B,D,1988.862371,-19.14,2009ApJ...700.1216M
CPD-60 3180,10.894,294.204894,-0.010087553,B,D,10111.22346,-15.02,2009ApJ...700.1216M
LS II +27 32,11.44,68.40283567,-6.323683606,B,D,1447.806573,-114.55,
HD 330657,10.35,334.3151258,0.444225739,B,D,814.3322476,-7.25,
Cl Lynga 6 8,12.45,330.3581333,0.294042769,B,D,2352.941176,-51.07,
LS II +30 35,11.53,73.32262428,-8.44585611,B,D,362.3844899,-9.77,
LS IV -11 27,10.83,20.55332775,-1.372493927,B,D,2279.462047,25.7721,
LS IV -00 18,11.5,38.22319686,-11.74876899,B,D,132.1580081,-10.435,
BD-02 4806,10.91,31.73762072,-2.558382812,B,D,1834.525775,79.48,
LS IV -02 12,11.81,29.48902612,1.087487821,B,D,2977.076511,25.9398,
BD-00 3227,10.5,19.32549871,22.48407205,B,D,2339.181287,-26.21,
BD-05 4866,10.21,29.84093174,-5.474887075,B,D,1849.454411,-11.3053,
LS IV -04 31,11.77,29.79537073,-3.358278825,B,D,1631.587535,-672.905029,
LS IV -04 30,12.39,29.52918232,-3.328780961,B,D,185.380865,62.36,
LS IV -03 16,12.19,30.26846918,-2.646905144,B,D,1541.7823,-20.759701,
BD+01 3983,11.39,38.32938433,-6.1927138,B,D,4293.688278,44.354,
LS IV -03 14,10.96,29.94000278,-2.526947864,B,D,3103.662322,41.876202,
LS IV -06 41,11.38,27.18996797,-3.611699755,B,D,3018.412315,130.020996,
LS V +45 20,10.54,161.5585083,2.405608575,B,D,2940.311673,117.07,
LS IV -05 37,11.92,30.63099206,-8.258602726,B,D,10845.98698,162.832001,
BD-02 4698,10.52,29.2811833,0.99489084,B,D,1320.655045,-7.52542,
BD-05 4510,10.52,21.24432401,10.83062763,B,D,970.8737864,-10.95,
LS IV -04 36,11.25,42.73030838,-27.78667832,B,D,493.510339,-32.23,
LS II +24 7,11.9,59.79889993,1.479358094,B,D,234.4116268,-116.35,
LS II +24 2,11.95,54.58889605,13.0070316,B,D,564.8121999,-33.91,
LS II +29 4,10.57,62.31646949,7.042024737,B,D,1617.337862,46.6,
TYC 2158-1284-1,11.25,64.17922776,-4.359594979,B,D,2090.738031,-362.3,
LS II +26 10,11.48,63.66382228,-0.349730894,B,D,2409.058058,111.28,
TYC 2147-1309-1,11.04,63.50709143,1.796340569,B,D,456.3084645,-31.62,
LS IV +05 7,11.62,37.28667553,3.98028465,B,D,534.3593032,-22.05,
BD+06 4460,11.18,48.41485077,-14.26793747,B,D,832.9862557,-40.79,
BD+04 3984,10.61,38.64567323,-1.810036248,B,D,2008.838891,88.7,
LS II +10 1,10.92,41.89835932,6.658997453,B,D,132.2978819,-5.56,
LS II +18 1,11.77,49.25580298,8.564004918,B,D,553.8018497,-10.15,
LS II +13 13,12.9,52.08358212,-6.51644898,B,D,993.9369844,-18.7,
LS II +13 5,11.93,48.63942316,-0.7701843,B,D,366.0724091,-135.1,
LS II +14 2,11.08,45.23387975,7.10134278,B,D,4807.692308,33.222099,
LS II +12 4,12.5,45.67311626,2.416280703,B,D,224.0846144,-25.23,
TYC 1055-4134-1,11.43,45.12269466,-3.730702596,B,D,540.1901469,-58.96,
BD+09 3894,10.7,41.91889468,4.670746001,B,D,3617.945007,63.20677,
LS II +10 2,11.33,42.03588495,6.478396268,B,D,414.9721969,-15.15,
LS I +60 84,11.26,117.4483684,-1.345564508,B,D,4262.574595,-78.22,
LS III +61 27,11.419,112.3913951,0.514908508,B,D,3386.386725,-50.31,
LS V +55 8,10.78,137.5968832,-4.567709647,B,D,1530.221882,-77.210197,
BD+56 477,9.331,134.4370782,-3.97783151,B,D,2724.79564,-63.314499,
BD+56 472,9.1828,134.4442349,-4.078738178,B,D,2241.649854,-60.705799,
BD+46 2986,9.11,85.37617711,4.139426493,B,D,2939.447384,-3.1,
BD+49 3387,10.69,88.77846155,3.747997737,B,D,1236.093943,-3.04063,
EM* AS 446,10.32,88.21079257,3.062595773,B,D,3012.048193,-20.07,
BD+57 2472,9.7,102.9715943,1.65503067,B,D,4038.772213,71.83,
LS III +56 38,11.03,103.219792,0.036023014,B,D,3460.207612,38.63,
Cl Trumpler 37 470,12.36,99.30916711,3.704267905,B,D,939.4964299,2.23,
EM* VES 668,11.57,131.4407001,-0.688456724,B,D,3700.96225,86.73,
EM* GGA 96,14.13,129.871067,-2.89981673,B,D,2707.092583,-90.54,
EM* GGA 112,12.38,130.1349714,-2.253182888,B,D,529.4647112,-14.75,
EM* GGA 21,11.72,125.3953731,-0.025585602,B,D,3216.468318,65.38,
EM* VES 748,12,135.9766572,-3.042207351,B,D,2538.071066,551.929993,
BD+57 563,10.04,135.184202,-2.899941663,B,D,692.13732,25.148899,1978A&AS...32...25R
GSC 03699-00274,11.9,135.115693,-1.711480048,B,D,213.278734,6.41,
EM* GGA 164,12.63,134.7194702,-2.249858355,B,D,3536.067893,-485.315002,
EM* GGA 167,12.54,134.9751526,-2.519404727,B,D,2248.706993,-52.918098,
EM* GGA 170,11.95,135.5562036,-3.175700627,B,D,2428.363283,549.346985,
EM* GGA 178,13.51,136.1088345,-3.051923291,B,D,2527.805865,-796.103027,
EM* GGA 179,12.16,135.9897246,-1.952063959,B,D,2514.458134,-35.994999,
LS V +56 34,10.6961,135.0346753,-3.825601832,B,D,3257.32899,-22.2416,
LS V +56 33,10.794,135.0125908,-3.849175779,B,D,2344.665885,-0.4,
EM* MWC 449,10.7,135.2855035,-3.263341959,B,D,2504.38267,437.247986,
LS V +57 51,11.22,136.3759476,-2.742380785,B,D,2461.841457,-34.1903,
LS V +58 7,10.69,134.1554931,-2.04169614,B,D,2319.647414,-42.469898,
LS V +58 4,11.03,134.1095504,-2.542777715,B,D,2695.41779,-21.788401,
EM* GGA 157,11.97,134.399439,-2.552794543,B,D,2369.668246,335.856995,
LS V +56 41,11.18,135.3824617,-3.793622643,B,D,2654.632333,-39,
LS V +57 30,11.2,135.2512417,-3.099119513,B,D,2186.748305,-45.048801,
EM* VES 744,11.12,135.1644142,-2.715372417,B,D,2171.55266,-370.273987,
EM* GGA 176,11.61,135.8941821,-2.829682622,B,D,8424.599832,-59.2733,
LS V +57 47,10.49,136.1566335,-2.311839646,B,D,2324.500232,-15.0246,
BD+56 488,10.1,134.4566955,-3.558350161,B,D,1011.838511,-56.341499,
LS I +64 5,12.12,117.1429949,2.308712014,B,D,2637.130802,-28.605301,
LS I +63 40,10.8,118.0301895,1.76801367,B,D,2998.50075,0.400351,
BD+62 36,9.82,119.0458624,0.881314812,B,D,758.4376185,-57.73,
LS III +44 23,12.45,85.23752389,0.42736181,B,D,384.6153846,-9.75,
BD+52 3224,10.42,102.7021714,-3.715132042,B,D,3528.58151,-73.086197,
LS III +48 44,13.04,94.74661885,-3.412979588,B,D,387.3716831,-156.41,
V* V381 Cas,10.22,119.8217399,-13.43193472,B,D,2918.855809,-114.100998,
LS III +43 28,11.49,92.40206676,-7.932598631,B,D,380.6623525,-80.07,
LS III +49 44,11.76,99.97214558,-5.901942353,B,D,2525.890376,-41.7,
LS V +45 18,11.03,161.6999729,2.045345454,B,D,21141.64905,81.72,
GSC 03633-01257,12.2,103.0176884,-6.990180486,B,D,441.0532351,-32.07,
BD+40 4112,9.67,78.36746372,2.787212315,B,D,1804.402743,103.23,
TYC 3990-1425-1,10.81,103.8680558,-0.654955148,B,D,12254.90196,-32.1805,
BD+44 709,10.1,149.8161571,-9.391364318,B,D,1317.349493,-24.36,
EM* VES 257,11.33,84.00722838,4.966986367,B,D,2870.264064,-8.9,
LS III +56 121,12.04,108.7908319,-3.55356281,B,D,538.2131324,-42.88,
BD+47 3210,10.13,87.81665432,2.321770569,B,D,271.2011499,-21.32,
LS III +47 17,10.41,87.07072392,1.715528034,B,D,3581.661891,-27.94,
LS III +45 13,12.23,84.09223108,2.213232614,B,D,524.9619403,-2.87,
LS III +52 10,10.87,97.79037012,-0.604915203,B,D,2689.618074,42.83,
LS III +54 23,10.16,101.7151366,-1.15439478,B,D,4096.681688,-56.81,
LS III +51 16,12.64,94.4309192,0.244642513,B,D,1634.788295,-7.82531,
LS III +50 20,11.57,93.72969487,-0.790890746,B,D,578.0012716,0.33,
LS III +50 21,12.23,93.76307191,-0.918262409,B,D,637.3892536,3.62,
LS III +52 8,10.93,96.66278589,-0.183352369,B,D,6297.229219,32.99,
LS V +54 5,10.88,139.1034382,-4.696464181,B,D,2546.473135,-48.9893,
TYC 3712-57-1,10.48,136.4465894,0.005812203,B,D,1018.53738,-31.95,
LS I +60 225,10.81,133.0026485,-0.03387464,B,D,2308.935581,38.24,
EM* MWC 56,11.65,135.9003966,1.228053178,B,D,2985.074627,-58,
LS I +60 233,11.55,134.3674889,-0.237644229,B,D,2220.248668,-41.037201,
BD+60 486,9.88,134.6690704,0.039485252,B,D,681.9421713,-13.4195,1978A&AS...32...25R
BD+60 545,10.17,135.9688857,0.713122139,B,D,2331.545815,24.8832,
LS I +68 7,11.71,121.2079976,5.860055624,B,D,1895.016108,-109.792999,
BD+49 1004,9.89,148.9923627,-3.994662529,B,D,817.7283506,29.6481,
TYC 3714-944-1,9.5,140.056601,0.261814331,B,D,857.2653236,-48.726299,1978A&AS...32...25R
BD+57 698,9.69,140.3229217,0.030573214,B,D,517.5983437,-33.604599,1978A&AS...32...25R
BD+56 793,10.22,141.2133963,-0.498465334,B,D,773.7542556,0.079907,1978A&AS...32...25R
BD+53 689,9.92,145.9054502,-1.16140733,B,D,551.5111405,-28.694599,1978A&AS...32...25R
LS I +62 210,11.08,133.545906,1.330194168,B,D,2331.002331,-14.6331,
LS III +66 9,11.73,112.0918583,5.951266182,B,D,481.602774,-13.48,
BD+48 1191,9.57,158.4908702,3.964444196,B,D,1010.203051,-28.447901,
BD+58 2236,9.21,97.74154908,7.209880842,B,D,964.4131546,-20,
BD+62 276,9.44,127.9285532,0.962936941,B,D,406.8182743,3.7,
BD+63 226,10.07,128.5455407,1.762400793,B,D,2850.627138,-53.4,
EM* GGA 31,12.94,125.9278902,1.648245119,B,D,704.1261794,-13.24,
LS V +51 15,10.97,151.2831483,0.318167232,B,D,1759.943682,-11.8737,
BD+52 804,10.01,151.5460381,1.415656726,B,D,1007.75975,-4.18,1978A&AS...32...25R
BD+50 960,10.3,152.2778871,0.291208623,B,D,975.9906305,-4.961565333,1978A&AS...32...25R
BD+47 1000,10.71,156.2058833,-0.169885672,B,D,1741.553466,106.83,
LS V +47 16,11.11,157.5706858,0.720348918,B,D,989.3153937,17.4561,
LS V +46 19,11.18,157.2848526,-0.29734477,B,D,1062.586335,4.27782,
LS V +45 11,10.93,158.4469194,-0.50063817,B,D,179.3561116,-13.92,
LS V +46 23,10.62,159.7385513,2.115291057,B,D,4759.638267,89.93,
Cl Bochum 15 18,12.14,247.8454549,-6.199970423,O,D,559.565777,48.88,
PN H 2-1,13.25,350.908835,4.402173672,O,D,1729.505361,-25,
Cl Bochum 15 25,11.85,247.9521665,-5.614377777,O,D,3685.956506,127.2,
TYC 4063-949-1,10.88,143.748818,5.787664418,B,D,117.2786658,-1.57,
BD+55 887,10.21,150.7433601,4.782068062,B,D,4688.232536,51.46,
GSC 08959-00166,11.284,291.0929374,-0.561269018,O,D,1267.266506,30,
LS I +60 285,11.86,137.9923075,1.26092787,B,D,625.7822278,18.02,
LS I +60 297,10.9,138.1272846,1.561997021,B,D,1975.894092,-2.43912,
BD+62 396,10.79,133.667164,1.796967609,B,D,883.3922261,-37.7696,1978A&AS...32...25R
LS I +65 18,12.43,130.9262111,4.612523595,B,D,2683.123155,-175.826996,
EM* MWC 453,11.18,136.0730205,1.686042742,B,D,3149.606299,-487.536011,
[MR72] 25,12.597,279.9907694,-33.52980129,O,D,529.4647112,34.872002,
LS V +49 12,10.77,153.6157553,-0.476935894,B,D,3118.178983,67.73,
LS III +69 1,11.57,109.6620015,10.68941734,B,D,901.5506671,-11.04,
BD+51 855,10.11,150.4344604,0.150962921,B,D,916.5062781,-6.42621,1978A&AS...32...25R
TYC 3711-198-1,10.34,142.5222043,0.786909585,B,D,819.000819,4.74594,1978A&AS...32...25R
TYC 3718-792-1,10.53,149.3336573,0.374126181,B,D,751.3712525,-28.780001,1978A&AS...32...25R
BD+52 660,10.44,142.9695658,-4.812003776,B,D,1696.640652,-19.914,
HD 215806,9.23,107.1367777,-0.69731795,O,E,2640.612622,-61.8,2020ApJS..251...29C
TYC 4285-2764-1,12.08,116.3385088,0.147411391,B,E,1604.36387,14,1977yCat.3038....0B
KUV 21017+7158,12.14,107.311035,16.69794809,B,E,297.9382672,-133.99,1987AJ.....94.1271W
PG 0101+154,15.67,127.5621097,-47.0566357,B,E,16077.17042,-29,1986ApJS...61..305G
CPD-54 3601,11.69,283.1849017,1.60058004,B,E,539.083558,0.66,1976A&AS...23..283L
SSTISAGE1C J053736.75-690633.4,15.24,279.488133,-31.76772805,B,E,64516.12903,284,2013A&A...550A.109D
[BGK2006] HV 16,19.49,285.8598859,67.38040861,B,E,1952.743605,434.1,2009ApJ...690.1639B
