Gaia DR2 4323764712417428864,
Gaia DR2 6046050824364599936,
Gaia DR2 6048976762246802944,
Gaia DR2 6049140417677195136,
Gaia DR2 6050172068822858624,
Gaia DR2 6241992180213281920,
Gaia DR2 6049497999479270272,
Gaia DR2 6236109243250504576,
Gaia DR2 6242058872466158848,
Gaia DR2 6042226413691523712,
Gaia DR2 5543407297031681792,
Gaia DR2 4354377620100892416,
Gaia DR2 5961206940987571200,
Gaia DR2 5968351361342059264,
Gaia DR2 3346230980484591360,
Gaia DR2 3346682158209073792,
Gaia DR2 5997906921045380224,
Gaia DR2 6023633156682206720,
Gaia DR2 6001046778362375808,
Gaia DR2 1934938537001944960,
Gaia DR2 6014848745954046208,
Gaia DR2 5331653142902187008,
Gaia DR2 5331791505269378176,
Gaia DR2 5971244451257058176,
Gaia DR2 5953243727973804672,
Gaia DR2 6709267613951019904,
Gaia DR2 6733635914056263296,
Gaia DR2 5428323854487771392,
Gaia DR2 5332125176988204928,
Gaia DR2 5329291735538142848,
Gaia DR2 5407450004194424448,
Gaia DR2 6105713692543053056,
Gaia DR2 6263223955904774656,
Gaia DR2 6003314456669326720,
Gaia DR2 6198599507144514432,
Gaia DR2 5291230182023012864,
Gaia DR2 2160077939517532544,
Gaia DR2 8900825800310016,
Gaia DR2 3665501184671104,
Gaia DR2 6246914247094934272,
Gaia DR2 6245698187231874816,